uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
BA,2021,2,3329.6,26.095938343636828,4686.639999999999,26.185594315874027,-1357.0399999999995,-0.08965597223719968
BA,2021,3,911.2,26.684622835646874,5819.84,26.163660740471773,-4908.64,0.5209620951751006
BA,2021,4,4226.8,25.813375097826793,7268.08,25.60796354578259,-3041.2799999999997,0.20541155204420392
BA,2021,5,1361.2,24.27563710631421,3942.4800000000005,24.223799772374527,-2581.2800000000007,0.051837333939683816
BA,2021,6,1554.4,23.944840827020453,3226.0,23.158492438287233,-1671.6,0.7863483887332201
BA,2021,7,2242.8,23.357484696855153,2762.2400000000002,22.70659779705152,-519.44,0.6508868998036341
BA,2021,8,1305.6,23.442552577642214,2379.2,23.343745564000084,-1073.6,0.09880701364212996
BA,2021,9,456.40000000000003,25.81805648631361,1537.44,24.882797472059092,-1081.04,0.9352590142545161
BA,2021,10,3721.6,26.59074830232233,2772.32,26.564816222205234,949.2799999999997,0.025932080117094358
BA,2021,11,10185.2,25.19481199930396,8040.08,25.64741481797629,2145.120000000001,-0.4526028186723323
BA,2021,12,13898.4,24.793858319548924,6599.68,26.11164018115565,7298.719999999999,-1.3177818616067256
